T/Tc	1-T/Tc	l	K	G	K/K0
0.95	0.05	0	0.787214	0.00042243	1
0.95	0.05	0.0001	0.78721	0.000422221	0.999996
0.95	0.05	0.0002	0.787207	0.000422012	0.999992
0.95	0.05	0.0003	0.787204	0.000421803	0.999988
0.95	0.05	0.0004	0.787201	0.000421595	0.999984
0.95	0.05	0.0005	0.787197	0.000421386	0.999979
0.95	0.05	0.0006	0.787194	0.000421178	0.999975
0.95	0.05	0.0007	0.787191	0.00042097	0.999971
0.95	0.05	0.0008	0.787188	0.000420761	0.999967
0.95	0.05	0.0009	0.787184	0.000420553	0.999963
0.95	0.05	0.01	0.786891	0.000402048	0.99959
0.95	0.05	0.02	0.786571	0.000382657	0.999184
0.95	0.05	0.03	0.786254	0.000364209	0.998782
0.95	0.05	0.04	0.785941	0.000346657	0.998384
0.95	0.05	0.05	0.785631	0.000329957	0.99799
0.95	0.05	0.06	0.785324	0.000314068	0.9976
0.95	0.05	0.07	0.78502	0.00029895	0.997214
0.95	0.05	0.08	0.78472	0.000284565	0.996832
0.95	0.05	0.09	0.784422	0.000270877	0.996453
0.95	0.05	0.1	0.784127	0.000257853	0.996079
0.95	0.05	0.11	0.783835	0.000245459	0.995708
0.95	0.05	0.12	0.783546	0.000233665	0.995341
0.95	0.05	0.13	0.78326	0.000222442	0.994978
0.95	0.05	0.14	0.782977	0.000211762	0.994618
0.95	0.05	0.15	0.782696	0.000201598	0.994261
0.95	0.05	0.16	0.782418	0.000191925	0.993909
0.95	0.05	0.17	0.782144	0.00018272	0.993559
0.95	0.05	0.18	0.781871	0.000173959	0.993213
0.95	0.05	0.19	0.781602	0.000165621	0.992871
0.95	0.05	0.2	0.781335	0.000157685	0.992532
0.95	0.05	0.21	0.78107	0.000150132	0.992196
0.95	0.05	0.22	0.780808	0.000142943	0.991863
0.95	0.05	0.23	0.780549	0.000136101	0.991534
0.95	0.05	0.24	0.780292	0.000129588	0.991208
0.95	0.05	0.25	0.780038	0.000123389	0.990884
0.95	0.05	0.26	0.779786	0.000117488	0.990564
0.95	0.05	0.27	0.779536	0.000111871	0.990248
0.95	0.05	0.28	0.779289	0.000106525	0.989934
0.95	0.05	0.29	0.779045	0.000101435	0.989623
0.95	0.05	0.3	0.778802	9.65904e-05	0.989315
0.95	0.05	0.31	0.778562	9.19784e-05	0.98901
0.95	0.05	0.32	0.778324	8.75879e-05	0.988708
0.95	0.05	0.33	0.778089	8.34082e-05	0.988409
0.95	0.05	0.34	0.777855	7.94291e-05	0.988112
0.95	0.05	0.35	0.777624	7.5641e-05	0.987819
0.95	0.05	0.36	0.777395	7.20346e-05	0.987528
0.95	0.05	0.37	0.777168	6.86011e-05	0.98724
0.95	0.05	0.38	0.776944	6.53321e-05	0.986954
0.95	0.05	0.39	0.776721	6.22199e-05	0.986671
0.95	0.05	0.4	0.776501	5.92567e-05	0.986391
0.95	0.05	0.41	0.776282	5.64354e-05	0.986114
0.95	0.05	0.42	0.776066	5.37491e-05	0.985839
0.95	0.05	0.43	0.775851	5.11915e-05	0.985566
0.95	0.05	0.44	0.775639	4.87562e-05	0.985297
0.95	0.05	0.45	0.775428	4.64373e-05	0.985029
0.95	0.05	0.46	0.77522	4.42293e-05	0.984764
0.95	0.05	0.47	0.775013	4.21269e-05	0.984502
0.95	0.05	0.48	0.774809	4.01249e-05	0.984242
0.95	0.05	0.49	0.774606	3.82185e-05	0.983984
0.95	0.05	0.5	0.774405	3.64032e-05	0.983729
0.95	0.05	0.51	0.774206	3.46746e-05	0.983476
0.95	0.05	0.52	0.774008	3.30284e-05	0.983225
0.95	0.05	0.53	0.773813	3.14608e-05	0.982977
0.95	0.05	0.54	0.773619	2.99679e-05	0.982731
0.95	0.05	0.55	0.773427	2.85462e-05	0.982487
0.95	0.05	0.56	0.773237	2.71923e-05	0.982245
0.95	0.05	0.57	0.773048	2.5903e-05	0.982005
0.95	0.05	0.58	0.772861	2.4675e-05	0.981768
0.95	0.05	0.59	0.772676	2.35056e-05	0.981533
0.95	0.05	0.6	0.772493	2.23918e-05	0.9813
0.95	0.05	0.61	0.772311	2.1331e-05	0.981069
0.95	0.05	0.62	0.77213	2.03208e-05	0.98084
0.95	0.05	0.63	0.771952	1.93585e-05	0.980613
0.95	0.05	0.64	0.771775	1.84421e-05	0.980388
0.95	0.05	0.65	0.771599	1.75692e-05	0.980165
0.95	0.05	0.66	0.771426	1.67379e-05	0.979944
0.95	0.05	0.67	0.771253	1.5946e-05	0.979725
0.95	0.05	0.68	0.771082	1.51918e-05	0.979508
0.95	0.05	0.69	0.770913	1.44734e-05	0.979293
0.95	0.05	0.7	0.770745	1.37891e-05	0.97908
0.95	0.05	0.71	0.770579	1.31373e-05	0.978869
0.95	0.05	0.72	0.770414	1.25165e-05	0.978659
0.95	0.05	0.73	0.770251	1.19251e-05	0.978452
0.95	0.05	0.74	0.770089	1.13618e-05	0.978246
0.95	0.05	0.75	0.769928	1.08252e-05	0.978042
0.95	0.05	0.76	0.769769	1.0314e-05	0.97784
0.95	0.05	0.77	0.769611	9.82707e-06	0.977639
0.95	0.05	0.78	0.769455	9.36322e-06	0.977441
0.95	0.05	0.79	0.7693	8.92135e-06	0.977244
0.95	0.05	0.8	0.769146	8.50042e-06	0.977049
0.95	0.05	0.81	0.768994	8.09943e-06	0.976855
0.95	0.05	0.82	0.768843	7.71743e-06	0.976663
0.95	0.05	0.83	0.768693	7.35351e-06	0.976473
0.95	0.05	0.84	0.768545	7.00682e-06	0.976285
0.95	0.05	0.85	0.768397	6.67654e-06	0.976098
0.95	0.05	0.86	0.768252	6.36189e-06	0.975912
0.95	0.05	0.87	0.768107	6.06212e-06	0.975729
0.95	0.05	0.88	0.767964	5.77652e-06	0.975547
0.95	0.05	0.89	0.767821	5.50443e-06	0.975366
0.95	0.05	0.9	0.767681	5.24521e-06	0.975187
0.95	0.05	0.91	0.767541	4.99823e-06	0.97501
0.95	0.05	0.92	0.767402	4.76293e-06	0.974834
0.95	0.05	0.93	0.767265	4.53874e-06	0.974659
0.95	0.05	0.94	0.767129	4.32514e-06	0.974486
0.95	0.05	0.95	0.766994	4.12163e-06	0.974315
0.95	0.05	0.96	0.76686	3.92773e-06	0.974145
0.95	0.05	0.97	0.766727	3.74298e-06	0.973976
0.95	0.05	0.98	0.766596	3.56695e-06	0.973809
0.95	0.05	0.99	0.766465	3.39923e-06	0.973643
0.95	0.05	1	0.766336	3.23942e-06	0.973479

t = 1

T/Tc	1-T/Tc	l	K	G	K/K0
0.1	0.9	0	7.47853	8.80373e-33	1
0.1	0.9	0.0001	7.47853	0.0270238	1
0.1	0.9	0.0002	7.47824	-0.0280602	0.999961
0.1	0.9	0.0003	7.47794	0.0136751	0.999922
0.1	0.9	0.0004	7.47765	-0.00229358	0.999882
0.1	0.9	0.0005	7.47736	0.000421383	0.999843
0.1	0.9	0.0006	7.47707	0.000421175	0.999804
0.1	0.9	0.0007	7.47677	0.000420966	0.999765
0.1	0.9	0.0008	7.47648	0.000420758	0.999726
0.1	0.9	0.0009	7.47619	0.00042055	0.999687
0.1	0.9	0.01	7.44977	0.000402045	0.996154
0.1	0.9	0.02	7.4212	0.000382654	0.992335
0.1	0.9	0.03	7.39312	0.000364206	0.98858
0.1	0.9	0.04	7.36552	0.000346654	0.984888
0.1	0.9	0.05	7.33837	0.000329955	0.981258
0.1	0.9	0.06	7.31167	0.000314066	0.977688
0.1	0.9	0.07	7.28541	0.000298948	0.974177
0.1	0.9	0.08	7.25958	0.000284563	0.970723
0.1	0.9	0.09	7.23417	0.000270875	0.967325
0.1	0.9	0.1	7.20917	0.000257851	0.963982
0.1	0.9	0.11	7.18457	0.000245457	0.960693
0.1	0.9	0.12	7.16036	0.000233664	0.957456
0.1	0.9	0.13	7.13654	0.000222441	0.95427
0.1	0.9	0.14	7.11309	0.00021176	0.951134
0.1	0.9	0.15	7.09	0.000201597	0.948047
0.1	0.9	0.16	7.06727	0.000191924	0.945008
0.1	0.9	0.17	7.0449	0.000182719	0.942016
0.1	0.9	0.18	7.02286	0.000173958	0.93907
0.1	0.9	0.19	7.00117	0.00016562	0.936169
0.1	0.9	0.2	6.9798	0.000157684	0.933311
0.1	0.9	0.21	6.95875	0.000150131	0.930497
0.1	0.9	0.22	6.93802	0.000142942	0.927725
0.1	0.9	0.23	6.91759	0.0001361	0.924994
0.1	0.9	0.24	6.89747	0.000129587	0.922303
0.1	0.9	0.25	6.87764	0.000123388	0.919652
0.1	0.9	0.26	6.85811	0.000117488	0.91704
0.1	0.9	0.27	6.83886	0.000111871	0.914465
0.1	0.9	0.28	6.81988	0.000106524	0.911928
0.1	0.9	0.29	6.80118	0.000101435	0.909428
0.1	0.9	0.3	6.78275	9.65901e-05	0.906963
0.1	0.9	0.31	6.76458	9.19781e-05	0.904533
0.1	0.9	0.32	6.74667	8.75876e-05	0.902138
0.1	0.9	0.33	6.72901	8.34079e-05	0.899776
0.1	0.9	0.34	6.71159	7.94289e-05	0.897448
0.1	0.9	0.35	6.69442	7.56407e-05	0.895152
0.1	0.9	0.36	6.67749	7.20343e-05	0.892888
0.1	0.9	0.37	6.66079	6.86008e-05	0.890654
0.1	0.9	0.38	6.64432	6.53319e-05	0.888452
0.1	0.9	0.39	6.62807	6.22197e-05	0.88628
0.1	0.9	0.4	6.61204	5.92565e-05	0.884137
0.1	0.9	0.41	6.59623	5.64352e-05	0.882023
0.1	0.9	0.42	6.58064	5.3749e-05	0.879937
0.1	0.9	0.43	6.56525	5.11913e-05	0.87788
0.1	0.9	0.44	6.55007	4.8756e-05	0.87585
0.1	0.9	0.45	6.53509	4.64372e-05	0.873846
0.1	0.9	0.46	6.5203	4.42292e-05	0.871869
0.1	0.9	0.47	6.50571	4.21268e-05	0.869918
0.1	0.9	0.48	6.49131	4.01248e-05	0.867993
0.1	0.9	0.49	6.4771	3.82184e-05	0.866093
0.1	0.9	0.5	6.46307	3.64031e-05	0.864217
0.1	0.9	0.51	6.44922	3.46745e-05	0.862365
0.1	0.9	0.52	6.43555	3.30283e-05	0.860537
0.1	0.9	0.53	6.42206	3.14607e-05	0.858733
0.1	0.9	0.54	6.40874	2.99679e-05	0.856951
0.1	0.9	0.55	6.39558	2.85462e-05	0.855192
0.1	0.9	0.56	6.38259	2.71923e-05	0.853455
0.1	0.9	0.57	6.36976	2.59029e-05	0.85174
0.1	0.9	0.58	6.3571	2.4675e-05	0.850047
0.1	0.9	0.59	6.34459	2.35055e-05	0.848374
0.1	0.9	0.6	6.33224	2.23917e-05	0.846722
0.1	0.9	0.61	6.32004	2.1331e-05	0.845091
0.1	0.9	0.62	6.30799	2.03207e-05	0.843479
0.1	0.9	0.63	6.29608	1.93585e-05	0.841888
0.1	0.9	0.64	6.28432	1.84421e-05	0.840315
0.1	0.9	0.65	6.27271	1.75692e-05	0.838762
0.1	0.9	0.66	6.26123	1.67378e-05	0.837228
0.1	0.9	0.67	6.2499	1.5946e-05	0.835712
0.1	0.9	0.68	6.23869	1.51918e-05	0.834214
0.1	0.9	0.69	6.22763	1.44734e-05	0.832734
0.1	0.9	0.7	6.21669	1.37891e-05	0.831272
0.1	0.9	0.71	6.20588	1.31373e-05	0.829827
0.1	0.9	0.72	6.19521	1.25165e-05	0.828399
0.1	0.9	0.73	6.18465	1.19251e-05	0.826988
0.1	0.9	0.74	6.17422	1.13617e-05	0.825593
0.1	0.9	0.75	6.16392	1.08251e-05	0.824215
0.1	0.9	0.76	6.15373	1.0314e-05	0.822853
0.1	0.9	0.77	6.14366	9.82705e-06	0.821506
0.1	0.9	0.78	6.13371	9.36321e-06	0.820175
0.1	0.9	0.79	6.12387	8.92134e-06	0.81886
0.1	0.9	0.8	6.11414	8.50041e-06	0.817559
0.1	0.9	0.81	6.10453	8.09942e-06	0.816274
0.1	0.9	0.82	6.09502	7.71742e-06	0.815003
0.1	0.9	0.83	6.08563	7.35351e-06	0.813746
0.1	0.9	0.84	6.07633	7.00682e-06	0.812504
0.1	0.9	0.85	6.06715	6.67653e-06	0.811275
0.1	0.9	0.86	6.05806	6.36188e-06	0.810061
0.1	0.9	0.87	6.04908	6.06211e-06	0.80886
0.1	0.9	0.88	6.0402	5.77652e-06	0.807672
0.1	0.9	0.89	6.03142	5.50443e-06	0.806498
0.1	0.9	0.9	6.02273	5.2452e-06	0.805336
0.1	0.9	0.91	6.01414	4.99823e-06	0.804188
0.1	0.9	0.92	6.00565	4.76292e-06	0.803052
0.1	0.9	0.93	5.99725	4.53874e-06	0.801928
0.1	0.9	0.94	5.98894	4.32514e-06	0.800817
0.1	0.9	0.95	5.98072	4.12163e-06	0.799718
0.1	0.9	0.96	5.97259	3.92773e-06	0.798631
0.1	0.9	0.97	5.96454	3.74298e-06	0.797556
0.1	0.9	0.98	5.95659	3.56695e-06	0.796492
0.1	0.9	0.99	5.94872	3.39923e-06	0.79544
0.1	0.9	1	5.94093	3.23942e-06	0.794399

t = 2

T/Tc	1-T/Tc	l	K	G	K/K0
